frame_id,id,bbox_x,bbox_y,bbox_width,bbox_height,presence
0,1,734,248,161,438,1
0,2,340,307,114,330,1
0,3,425,296,101,346,1
0,4,928,396,274,134,1
0,5,172,326,64,238,1
0,6,300,334,68,265,1
0,7,878,364,58,201,1
0,8,555,332,70,238,1
1,1,735,249,160,435,1
1,2,339,306,115,333,1
1,3,426,296,102,347,1
1,4,945,396,260,127,1
1,5,173,326,64,238,1
1,6,301,335,67,264,1
1,7,880,363,58,199,1
1,8,553,332,71,241,1
2,1,737,248,160,435,1
2,2,334,305,115,335,1
2,3,426,296,101,349,1
2,4,958,396,260,126,1
2,5,172,327,64,237,1
2,7,884,363,58,199,1
2,8,560,325,71,244,1
3,1,738,248,161,438,1
3,2,326,304,118,339,1
3,3,426,297,101,349,1
3,4,982,397,242,117,1
3,5,172,328,64,237,1
3,7,882,363,58,199,1
3,8,568,335,67,226,1
4,1,738,246,160,437,1
4,2,321,303,120,344,1
4,3,425,297,102,353,1
4,4,1008,396,208,99,1
4,5,171,327,64,239,1
4,7,880,364,57,197,1
4,8,579,346,60,206,1
5,1,740,247,159,435,1
5,2,318,304,119,340,1
5,3,427,299,102,351,1
5,4,1018,396,207,98,1
5,5,169,326,65,240,1
5,7,879,365,56,195,1
6,1,743,253,156,430,1
6,2,315,301,121,345,1
6,3,426,300,101,352,1
6,4,1029,397,201,93,1
6,5,168,325,65,242,1
6,7,878,367,56,197,1
7,1,747,254,158,436,1
7,2,313,299,122,347,1
7,3,426,302,101,349,1
7,4,1038,395,207,96,1
7,5,167,325,65,242,1
7,7,879,367,55,194,1
7,9,1,409,104,150,1
8,1,751,257,157,434,1
8,2,312,298,122,349,1
8,3,426,302,101,348,1
8,4,1045,395,211,98,1
8,5,165,324,65,242,1
8,7,879,367,55,194,1
8,9,-5,398,115,166,1
8,8,586,363,57,196,1
9,1,754,260,156,430,1
9,2,312,298,121,348,1
9,3,426,302,100,348,1
9,4,1061,396,196,91,1
9,5,163,324,66,242,1
9,7,880,366,54,196,1
9,9,-7,395,118,171,1
9,8,585,357,57,200,1
10,1,762,267,152,419,1
10,2,309,297,121,348,1
10,3,425,302,99,348,1
10,4,1072,397,196,91,1
10,5,161,323,67,243,1
10,9,34,382,87,117,1
10,8,586,355,56,200,1
11,1,767,268,151,418,1
11,2,307,296,120,349,1
11,3,424,303,98,346,1
11,4,1083,396,196,92,1
11,5,162,322,67,244,1
11,8,587,353,56,201,1
12,1,770,267,152,419,1
12,2,305,294,121,352,1
12,3,422,305,99,345,1
12,4,1093,398,192,92,1
12,5,161,321,68,245,1
12,8,587,350,56,202,1
12,9,49,377,77,97,1
13,1,774,263,151,419,1
13,2,304,295,121,352,1
13,3,423,306,99,345,1
13,4,1097,398,197,96,1
13,5,161,322,68,244,1
13,8,588,347,56,202,1
14,1,778,257,151,422,1
14,2,305,295,119,350,1
14,3,424,306,99,345,1
14,4,1111,398,188,94,1
14,5,160,324,68,242,1
14,8,589,346,56,202,1
15,1,781,255,151,420,1
15,2,303,296,120,352,1
15,3,423,307,99,344,1
15,4,1126,397,178,92,1
15,5,160,326,68,241,1
15,8,589,347,55,202,1
16,1,786,253,151,421,1
16,2,303,297,119,351,1
16,3,422,308,100,344,1
16,4,1137,395,174,94,1
16,5,160,326,68,241,1
16,8,589,348,55,201,1
17,1,790,252,152,423,1
17,2,302,298,118,348,1
17,3,420,308,101,344,1
17,4,1142,393,180,102,1
17,5,160,326,68,242,1
17,8,590,349,55,201,1
18,1,794,254,151,418,1
18,2,302,299,117,348,1
18,3,415,309,103,344,1
18,5,160,327,69,241,1
18,8,590,351,56,201,1
19,1,797,258,153,414,1
19,2,302,299,118,350,1
19,3,412,309,102,343,1
19,5,160,327,69,241,1
19,8,590,353,56,200,1
20,1,800,261,155,415,1
20,2,304,299,117,350,1
20,3,412,310,102,342,1
20,5,159,327,70,242,1
20,8,590,355,56,199,1
20,10,524,378,43,166,1
21,1,802,262,156,417,1
21,2,304,299,117,351,1
21,3,412,310,103,342,1
21,5,157,327,70,240,1
21,8,590,355,56,197,1
21,10,523,376,44,168,1
22,1,805,266,156,413,1
22,2,304,297,117,350,1
22,3,409,310,103,342,1
22,5,156,325,71,241,1
22,8,590,357,56,195,1
22,10,523,377,44,169,1
23,1,806,267,156,411,1
23,2,305,297,116,348,1
23,3,407,309,104,343,1
23,5,155,324,71,242,1
23,8,588,356,57,196,1
23,10,523,377,44,169,1
24,1,805,268,157,408,1
24,2,304,296,116,349,1
24,3,407,310,103,340,1
24,5,154,324,72,243,1
24,8,587,354,58,200,1
24,10,523,378,43,167,1
25,1,804,265,158,412,1
25,2,303,294,117,352,1
25,3,407,310,102,338,1
25,5,153,323,73,244,1
25,8,587,353,58,200,1
25,10,523,378,44,167,1
26,1,803,265,158,408,1
26,2,303,294,117,353,1
26,3,407,308,102,340,1
26,5,152,323,73,242,1
26,8,587,351,60,202,1
26,10,524,379,43,165,1
27,1,801,262,160,412,1
27,2,301,295,117,354,1
27,3,405,308,102,341,1
27,5,153,324,73,241,1
27,8,588,350,60,202,1
27,10,524,379,43,165,1
28,1,800,260,159,413,1
28,2,301,297,115,352,1
28,3,405,308,101,340,1
28,5,152,325,74,242,1
28,8,588,350,59,199,1
28,10,524,379,43,165,1
29,1,798,258,159,415,1
29,2,301,297,113,350,1
29,3,406,306,102,344,1
29,5,152,325,75,241,1
29,8,589,350,60,201,1
29,10,524,379,42,162,1
30,1,796,257,159,418,1
30,2,301,298,113,348,1
30,3,408,306,102,343,1
30,5,150,326,76,241,1
30,8,589,352,59,197,1
30,10,525,380,41,160,1
31,1,796,257,159,420,1
31,2,302,299,112,347,1
31,3,408,304,102,345,1
31,5,148,326,77,242,1
31,8,589,353,60,199,1
31,10,527,384,39,147,1
32,1,796,258,158,421,1
32,2,301,300,112,346,1
32,3,407,304,103,346,1
32,5,146,324,78,244,1
32,8,589,353,60,197,1
32,10,527,384,39,148,1
33,1,797,263,156,418,1
33,2,301,300,112,346,1
33,3,407,302,104,349,1
33,5,143,324,79,244,1
33,8,589,355,60,194,1
33,10,527,384,39,146,1
34,1,799,266,154,418,1
34,2,299,300,113,348,1
34,3,409,303,104,347,1
34,5,140,323,80,244,1
34,8,589,355,60,194,1
34,10,526,381,41,160,1
35,1,805,270,150,410,1
35,2,298,299,114,352,1
35,3,409,303,105,348,1
35,5,136,322,82,246,1
35,8,589,357,60,192,1
35,10,523,379,44,167,1
36,1,809,270,149,408,1
36,2,297,297,116,356,1
36,3,410,303,105,348,1
36,5,135,322,82,244,1
36,8,590,357,60,190,1
36,10,522,381,42,159,1
37,1,814,271,148,408,1
37,2,297,298,116,354,1
37,3,409,303,105,349,1
37,5,134,321,83,246,1
37,8,591,357,59,190,1
37,10,521,385,41,149,1
38,1,819,272,147,407,1
38,2,296,299,117,353,1
38,3,407,304,105,349,1
38,5,133,322,84,245,1
38,8,591,355,61,195,1
38,10,519,382,43,155,1
38,11,784,401,44,155,1
39,1,823,269,146,407,1
39,2,295,298,118,354,1
39,3,406,304,104,349,1
39,5,132,322,85,246,1
39,8,592,354,61,196,1
39,10,525,384,41,147,1
39,11,785,401,45,156,1
39,12,0,408,106,152,1
40,1,826,266,147,409,1
40,2,295,298,118,354,1
40,3,403,304,105,351,1
40,5,132,324,85,244,1
40,8,593,354,61,196,1
40,10,526,387,40,142,1
40,11,784,400,46,158,1
40,12,-6,396,117,168,1
41,1,828,261,149,412,1
41,2,295,296,118,357,1
41,3,403,308,103,347,1
41,5,131,325,85,244,1
41,8,593,352,61,197,1
41,10,525,386,42,151,1
41,11,784,401,45,155,1
41,12,-7,396,117,168,1
42,1,832,259,151,414,1
42,2,296,296,118,358,1
42,3,402,309,101,345,1
42,5,129,326,86,243,1
42,8,593,351,61,196,1
42,10,525,383,43,156,1
42,11,784,401,45,155,1
42,12,-9,392,120,173,1
43,1,838,258,153,414,1
43,2,296,297,117,355,1
43,3,401,308,101,347,1
43,5,126,326,87,244,1
43,8,594,349,61,195,1
43,10,525,381,44,160,1
43,11,783,401,45,154,1
43,12,-5,394,116,169,1
